10 2 2
40 8 10
70 15 20
100 22 32
130 30 37
160 37 49
190 45 58
220 52 58
250 59 71
280 66 84
310 74 93
340 82 99
370 89 107
400 96 118
430 104 126
460 111 138
490 118 145
520 125 151
550 133 163
580 139 172
610 146 184
640 153 194
670 161 204
700 169 219
730 176 229
760 184 222
790 191 232
820 197 241
850 203 245
880 211 261
910 220 266
940 227 262
970 233 276
1000 239 292
1030 246 291
1060 252 310
1090 259 322
1120 266 320
1150 274 348
1180 281 347
1210 288 359
1240 295 377
1270 302 372
1300 308 378
1330 314 394
1360 322 401
1390 329 410
1420 336 411
1450 344 434
