10 10 3.3212e-05
110 10 0.00190628
210 10 0.00537518
310 10 0.00915654
410 10 0.0126766
510 10 0.0178592
610 10 0.0265267
710 10 0.0363165
810 10 0.0476132
910 10 0.0645316
10 110 0.000120733
110 110 0.00994085
210 110 0.0357175
310 110 0.0748299
410 110 0.133112
510 110 0.212225
610 110 0.31819
710 110 0.42754
810 110 0.551885
910 110 0.698665
10 210 0.000233336
110 210 0.0187966
210 210 0.0662279
310 210 0.143734
410 210 0.264077
510 210 0.422056
610 210 0.609777
710 210 0.828514
810 210 1.0835
910 210 1.38423
10 310 0.00122946
110 310 0.028385
210 310 0.098632
310 310 0.220886
410 310 0.403456
510 310 0.658537
610 310 0.924024
710 310 1.26088
810 310 1.63597
910 310 2.07947
10 410 0.000429152
110 410 0.0369961
210 410 0.132515
310 410 0.287874
410 410 0.549417
510 410 0.835648
610 410 1.23907
710 410 1.64523
810 410 2.15163
910 410 2.71975
10 510 0.00143652
110 510 0.0495147
210 510 0.20889
310 510 0.480072
410 510 0.856207
510 510 1.33596
610 510 1.9163
710 510 2.71619
810 510 3.48937
910 510 4.38866
10 610 0.000648988
110 610 0.0552229
210 610 0.200202
310 610 0.436845
410 610 0.803426
510 610 1.47271
610 610 1.85276
710 610 2.52476
810 610 3.45891
910 610 4.73332
10 710 0.000727964
110 710 0.0665339
210 710 0.233451
310 710 0.516461
410 710 0.936233
510 710 1.75261
610 710 2.19594
710 710 2.99
810 710 4.38581
910 710 5.99834
10 810 0.00230932
110 810 0.0765035
210 810 0.277735
310 810 0.600571
410 810 1.18659
510 810 1.7254
610 810 2.52912
710 810 3.79422
810 810 5.46236
910 810 7.00279
10 910 0.00247616
110 910 0.0859883
210 910 0.301739
310 910 0.742048
410 910 1.24785
510 910 2.15676
610 910 3.06856
710 910 4.83334
810 910 8.00441
910 910 8.2877
