10 10 3.4889e-05
110 10 0.000887027
210 10 0.00324486
310 10 0.00659143
410 10 0.0115415
510 10 0.0181461
610 10 0.0265529
710 10 0.0365145
810 10 0.0475836
910 10 0.0606676
10 110 0.000121503
110 110 0.00984559
210 110 0.0344376
310 110 0.0745666
410 110 0.132824
510 110 0.211568
610 110 0.30676
710 110 0.422267
810 110 0.562981
910 110 0.701359
10 210 0.000622305
110 210 0.0236592
210 210 0.0665154
310 210 0.144224
410 210 0.263439
510 210 0.418024
610 210 0.641434
710 210 0.876787
810 210 1.07748
910 210 1.40168
10 310 0.000911456
110 310 0.0277369
210 310 0.0976923
310 310 0.216208
410 310 0.398369
510 310 0.633909
610 310 0.923048
710 310 1.25693
810 310 1.63968
910 310 2.08533
10 410 0.000434237
110 410 0.0369998
210 410 0.132731
310 410 0.287887
410 410 0.522474
510 410 0.832774
610 410 1.21517
710 410 1.6447
810 410 2.14417
910 410 2.7453
10 510 0.000529118
110 510 0.0493527
210 510 0.211302
310 510 0.48042
410 510 0.856438
510 510 1.33598
610 510 1.92358
710 510 2.6079
810 510 3.42009
910 510 4.50606
10 610 0.00159157
110 610 0.055378
210 610 0.199809
310 610 0.435768
410 610 0.795714
510 610 1.26721
610 610 2.14799
710 610 2.91652
810 610 3.28257
910 610 4.37691
10 710 0.00073371
110 710 0.0665094
210 710 0.233106
310 710 0.516807
410 710 0.967663
510 710 1.76132
610 710 2.25836
710 710 2.99592
810 710 4.80107
910 710 5.81355
10 810 0.000831636
110 810 0.0760692
210 810 0.266524
310 810 0.583009
410 810 1.08131
510 810 1.72481
610 810 2.57111
710 810 3.78989
810 810 5.4543
910 810 6.89239
10 910 0.000935921
110 910 0.0852303
210 910 0.299848
310 910 0.662607
410 910 1.20984
510 910 1.95321
610 910 3.06191
710 910 4.82796
810 910 6.29793
910 910 8.08117
